case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status,backfill_round,replacement_for,candidate_index_for_replacement,target_ood_axis,target_distance_bin,target_nearest_id_train_distance,nearest_id_train_distance,temperature_risk_proxy,generation_note
id_train_pbf01_0020,id_train,9.262727,6,5.913083,4.625132,1.218854,11.319449,uniform_fins,pending,1,id_train_0012,2,,,,,1.50595062,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0019,id_train,5.657373,6,2.80325,2.586194,1.278355,11.187345,uniform_fins,pending,1,id_train_0012,1,,,,,2.53790710,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0018,id_train,8.413516,6,4.811552,3.385683,0.686573,46.292687,uniform_fins,pending,1,id_train_0012,0,,,,,14.93621786,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0033,id_train,9.603117,4,3.836808,4.254101,0.262192,9.641812,uniform_fins,pending,1,id_train_0030,0,,,,,4.32216588,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0034,id_train,5.525005,4,2.57589,4.402169,0.393247,27.648446,uniform_fins,pending,1,id_train_0030,1,,,,,7.98561929,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0035,id_train,7.828156,4,4.075894,4.978567,0.375161,38.591254,uniform_fins,pending,1,id_train_0030,2,,,,,10.33086900,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0041,id_train,7.786925,8,5.76788,4.733708,0.692062,9.864505,uniform_fins,pending,1,id_train_0064,2,,,,,3.01112531,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0039,id_train,9.251258,8,5.595167,5.666006,0.650108,46.832393,uniform_fins,pending,1,id_train_0064,0,,,,,12.71404690,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0040,id_train,6.320577,8,3.685143,5.919417,0.214733,49.176303,uniform_fins,pending,1,id_train_0064,1,,,,,38.68816657,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0028,id_train,9.814538,6,3.801174,2.435542,0.93248,18.179684,uniform_fins,pending,1,id_train_0117,1,,,,,6.00360961,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0029,id_train,4.791766,6,2.995552,2.420732,0.71592,33.362769,uniform_fins,pending,1,id_train_0117,2,,,,,14.43816982,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0027,id_train,5.549708,6,2.786114,4.061055,0.414962,34.637615,uniform_fins,pending,1,id_train_0117,0,,,,,15.41565721,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0023,id_train,9.253905,4,5.438113,2.689663,0.862172,6.120134,uniform_fins,pending,1,id_train_0120,2,,,,,1.31959041,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0021,id_train,9.007789,4,2.189204,3.405418,0.275048,18.168272,uniform_fins,pending,1,id_train_0120,0,,,,,9.69850310,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0022,id_train,6.160728,4,4.50565,3.435994,0.32287,26.770428,uniform_fins,pending,1,id_train_0120,1,,,,,12.06549735,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0010,id_train,5.041816,4,3.770371,3.124821,1.186859,32.650354,uniform_fins,pending,1,id_train_0150,1,,,,,4.40183366,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0009,id_train,7.343838,4,4.805775,5.776393,0.868482,45.344358,uniform_fins,pending,1,id_train_0150,0,,,,,4.51934720,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0011,id_train,5.825547,4,2.828217,2.22628,0.298983,43.460772,uniform_fins,pending,1,id_train_0150,2,,,,,32.64684075,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0013,id_train,8.803531,5,2.910755,2.96552,1.107331,5.280824,uniform_fins,pending,1,id_train_0201,1,,,,,1.00508640,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0012,id_train,6.766997,5,3.404349,2.683307,0.585224,8.860274,uniform_fins,pending,1,id_train_0201,0,,,,,3.52642521,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0014,id_train,9.441472,5,4.153086,3.854348,0.916505,38.134196,uniform_fins,pending,1,id_train_0201,2,,,,,6.74697110,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0016,id_train,9.129002,4,2.118775,5.610578,0.984796,13.946045,uniform_fins,pending,1,id_train_0230,1,,,,,1.26202276,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0015,id_train,8.684232,4,2.392656,3.642373,1.19127,32.586148,uniform_fins,pending,1,id_train_0230,0,,,,,3.75498673,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0017,id_train,7.444019,4,4.117872,3.400948,0.343313,14.150228,uniform_fins,pending,1,id_train_0230,2,,,,,6.05958946,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0024,id_train,4.754019,6,2.666273,4.722302,1.48911,7.596966,uniform_fins,pending,1,id_train_0247,0,,,,,0.81025349,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0026,id_train,8.8812,6,3.676857,5.619526,0.564174,15.251766,uniform_fins,pending,1,id_train_0247,2,,,,,3.60801757,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0025,id_train,7.42495,6,3.788343,2.361107,0.516499,11.121339,uniform_fins,pending,1,id_train_0247,1,,,,,6.83963914,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0038,id_train,5.742066,5,2.141142,2.140001,0.746973,7.758438,uniform_fins,pending,1,id_train_0256,2,,,,,3.03344015,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_train_pbf01_0037,id_train,8.474608,5,4.663354,4.058208,0.864887,27.144304,uniform_fins,pending,1,id_train_0256,1,,,,,4.83353709,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
