case_id,pool,h_ch,n_fin,h_fin,d_in,u_in,q_w,geometry_family,solver_status,backfill_round,replacement_for,candidate_index_for_replacement,target_ood_axis,target_distance_bin,target_nearest_id_train_distance,nearest_id_train_distance,temperature_risk_proxy,generation_note
id_calibration_pbf03_0001,id_calibration,8.985171,5,2.505265,4.932942,1.380808,39.195317,uniform_fins,pending,3,id_calibration_0406,0,,,,,3.59645719,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_calibration_pbf03_0003,id_calibration,8.116109,6,5.47263,3.08017,1.290559,41.070944,uniform_fins,pending,3,id_calibration_0422,0,,,,,7.74895962,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_calibration_pbf03_0004,id_calibration,4.587655,7,2.893329,5.930147,1.290824,19.98721,uniform_fins,pending,3,id_calibration_0443,0,,,,,2.95326519,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_calibration_pbf03_0000,id_calibration,8.5631,5,2.623503,3.436476,0.296496,45.090257,uniform_fins,pending,3,id_calibration_0476,0,,,,,27.65862423,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_calibration_pbf03_0002,id_calibration,4.9153,6,2.682063,3.230493,0.662981,12.412131,uniform_fins,pending,3,id_calibration_0477,0,,,,,4.34648042,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_test_pbf03_0001,id_test,8.048883,5,4.031671,5.097186,0.685302,39.537837,uniform_fins,pending,3,id_test_0501,0,,,,,7.07425065,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_test_pbf03_0002,id_test,8.717489,6,3.885777,4.754785,0.573895,8.11907,uniform_fins,pending,3,id_test_0517,0,,,,,2.23153768,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_test_pbf03_0003,id_test,4.031711,5,2.378599,2.035304,0.463862,43.518106,uniform_fins,pending,3,id_test_0551,0,,,,,28.80924791,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_test_pbf03_0005,id_test,7.617779,7,2.773978,2.356163,1.14987,31.942204,uniform_fins,pending,3,id_test_0553,0,,,,,10.31617871,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_test_pbf03_0006,id_test,7.320881,8,2.774033,3.256949,0.677859,27.884294,uniform_fins,pending,3,id_test_0569,0,,,,,12.63017385,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_test_pbf03_0000,id_test,9.337859,5,5.936296,5.961986,0.772088,35.663799,uniform_fins,pending,3,id_test_0576,0,,,,,4.84227964,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_test_pbf03_0004,id_test,9.463761,8,2.713795,4.158587,0.868594,12.436853,uniform_fins,pending,3,id_test_0589,0,,,,,3.44308611,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
id_test_pbf03_0007,id_test,4.443424,8,2.188421,5.972553,0.750224,6.546034,uniform_fins,pending,3,id_test_0594,0,,,,,1.96367471,ID physical-acquisition backfill sampled inside configured ID envelope with original n_fin stratum preserved
ood_test_pbf03_0086,ood_test,11.771888,12,3.648541,4.499723,1.078827,5.183767,uniform_fins,pending,3,ood_test_0002,0,h_ch_high,5,1.21020010,1.18231487,1.60176627,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0087,ood_test,12.178765,12,2.145821,2.552057,1.010384,16.620653,uniform_fins,pending,3,ood_test_0002,1,h_ch_high,5,1.21020010,1.20894480,9.66857591,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0079,ood_test,8.460026,12,4.13651,7.440521,0.533028,6.178251,uniform_fins,pending,3,ood_test_0005,1,d_in_high,5,1.24719643,1.15198624,2.33670258,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0078,ood_test,7.667558,12,5.282074,7.362984,0.244667,16.512251,uniform_fins,pending,3,ood_test_0005,0,d_in_high,5,1.24719643,1.17738689,13.74891057,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0016,ood_test,7.579132,10,5.354683,0.918702,1.468891,37.975087,uniform_fins,pending,3,ood_test_0007,0,d_in_low,4,0.83054130,0.88544106,35.17584661,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0017,ood_test,7.399519,10,2.026739,0.477597,1.449195,48.745364,uniform_fins,pending,3,ood_test_0007,1,d_in_low,4,0.83054130,0.91977828,88.03490779,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0064,ood_test,11.548593,12,4.880431,2.266833,0.815478,26.403412,uniform_fins,pending,3,ood_test_0008,0,h_ch_high,4,1.11301301,1.09206126,21.42493614,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0065,ood_test,12.217964,12,3.040578,4.722526,0.548905,43.86182,uniform_fins,pending,3,ood_test_0008,1,h_ch_high,4,1.11301301,1.14030335,25.38086172,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0031,ood_test,11.834653,10,5.208735,2.716867,1.096175,30.635971,uniform_fins,pending,3,ood_test_0010,1,h_ch_high,2,0.70032945,0.66392255,12.85859124,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0030,ood_test,11.793255,10,4.90861,2.475553,0.587517,24.739953,uniform_fins,pending,3,ood_test_0010,0,h_ch_high,2,0.70032945,0.70498837,21.26259255,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0089,ood_test,11.924576,12,2.828631,5.453938,1.171842,27.60432,uniform_fins,pending,3,ood_test_0014,1,h_ch_high,4,1.13147930,1.08614045,6.47871769,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0088,ood_test,12.234798,12,5.389672,2.119593,1.171136,26.647533,uniform_fins,pending,3,ood_test_0014,0,h_ch_high,4,1.13147930,1.12677710,16.10232026,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0029,ood_test,8.273806,10,5.826908,0.708822,1.263202,35.976933,uniform_fins,pending,3,ood_test_0019,1,d_in_low,4,0.83782456,0.86931847,50.22548710,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0028,ood_test,9.368715,10,2.7077,0.747731,0.467537,47.43244,uniform_fins,pending,3,ood_test_0019,0,d_in_low,4,0.83782456,0.82316628,169.59932009,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0075,ood_test,12.30381,12,5.802124,3.204029,1.052362,15.135311,uniform_fins,pending,3,ood_test_0020,1,h_ch_high,4,1.12802153,1.13333953,6.73319221,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0074,ood_test,11.627037,12,4.294322,3.703478,0.247251,16.55338,uniform_fins,pending,3,ood_test_0020,0,h_ch_high,4,1.12802153,1.10182310,27.11628052,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0018,ood_test,11.547438,10,4.318291,3.225571,1.337013,25.352244,uniform_fins,pending,3,ood_test_0022,0,h_ch_high,1,0.62518969,0.63789532,7.34825440,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0019,ood_test,11.636038,10,4.653529,2.393086,1.234613,23.695794,uniform_fins,pending,3,ood_test_0022,1,h_ch_high,1,0.62518969,0.62678859,10.02517880,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0104,ood_test,11.790701,12,5.269095,2.214692,1.11187,39.773766,uniform_fins,pending,3,ood_test_0026,0,h_ch_high,5,1.18045807,1.16020950,24.22817066,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0105,ood_test,11.725246,12,3.463693,5.740083,0.300629,34.254615,uniform_fins,pending,3,ood_test_0026,1,h_ch_high,5,1.18045807,1.16886595,29.77565373,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0051,ood_test,11.71796,10,5.552568,4.241024,1.042623,37.685827,uniform_fins,pending,3,ood_test_0028,1,h_ch_high,3,0.71068181,0.78356311,10.65344411,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0050,ood_test,11.62764,10,5.155264,2.515574,0.603204,31.478725,uniform_fins,pending,3,ood_test_0028,0,h_ch_high,3,0.71068181,0.74506997,25.93139236,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0053,ood_test,8.153578,12,5.434457,7.52787,1.164519,11.522187,uniform_fins,pending,3,ood_test_0029,1,d_in_high,5,1.18477511,1.18629291,1.97154861,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0052,ood_test,6.668158,12,2.012672,7.574799,0.482593,28.809971,uniform_fins,pending,3,ood_test_0029,0,d_in_high,5,1.18477511,1.16612752,13.42910842,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0058,ood_test,12.208057,3,2.297072,2.632282,0.765611,41.939911,uniform_fins,pending,3,ood_test_0030,0,h_ch_high,2,0.66928329,0.68465607,7.80401676,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0059,ood_test,12.180314,3,4.823071,3.214303,0.298447,20.871877,uniform_fins,pending,3,ood_test_0030,1,h_ch_high,2,0.66928329,0.66013269,8.15903400,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0066,ood_test,12.19933,12,4.972499,5.243646,0.649587,21.504985,uniform_fins,pending,3,ood_test_0032,0,h_ch_high,5,1.16541399,1.20262206,9.47021227,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0067,ood_test,11.505447,12,5.389311,4.087685,0.794978,35.193875,uniform_fins,pending,3,ood_test_0032,1,h_ch_high,5,1.16541399,1.14282370,16.24522813,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0005,ood_test,9.25621,12,3.148357,7.059146,1.395387,38.291951,uniform_fins,pending,3,ood_test_0035,1,d_in_high,4,1.09902615,1.09402209,5.83111916,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0004,ood_test,6.224219,12,3.35789,7.05979,0.298431,31.743892,uniform_fins,pending,3,ood_test_0035,0,d_in_high,4,1.09902615,1.09849284,25.63436907,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0014,ood_test,12.238425,3,5.663011,5.94301,1.034327,22.783383,uniform_fins,pending,3,ood_test_0036,0,h_ch_high,2,0.65937101,0.69909340,1.38990512,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0015,ood_test,12.015578,3,3.990964,3.10996,1.342362,47.167004,uniform_fins,pending,3,ood_test_0036,1,h_ch_high,2,0.65937101,0.70598589,4.23686968,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0054,ood_test,11.54414,12,5.06031,5.738227,1.23184,40.623187,uniform_fins,pending,3,ood_test_0038,0,h_ch_high,4,1.13602767,1.12893878,8.62051524,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0055,ood_test,12.006879,12,2.269114,4.119639,1.242468,49.353194,uniform_fins,pending,3,ood_test_0038,1,h_ch_high,4,1.13602767,1.11525176,14.46312535,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0042,ood_test,8.603214,10,2.16731,7.492052,0.427962,32.11971,uniform_fins,pending,3,ood_test_0043,0,d_in_high,3,0.80306842,0.76781505,12.52205587,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0043,ood_test,6.618589,10,4.805558,7.254178,0.319441,24.760916,uniform_fins,pending,3,ood_test_0043,1,d_in_high,3,0.80306842,0.74070165,14.63931143,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0070,ood_test,11.856099,10,2.921399,3.607364,1.375578,28.306317,uniform_fins,pending,3,ood_test_0046,0,h_ch_high,2,0.70299448,0.67410651,7.13047055,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0071,ood_test,11.838161,10,4.299457,5.504215,0.687325,39.492094,uniform_fins,pending,3,ood_test_0046,1,h_ch_high,2,0.70299448,0.70180181,13.04856174,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0037,ood_test,9.280145,12,2.01498,0.654615,1.344613,29.358389,uniform_fins,pending,3,ood_test_0047,1,d_in_low,5,1.18936321,1.18669956,50.03111955,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0036,ood_test,7.603802,12,5.170839,0.616447,0.40365,17.870954,uniform_fins,pending,3,ood_test_0047,0,d_in_low,5,1.18936321,1.15508676,107.73040581,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0060,ood_test,9.30615,10,5.039207,0.449296,1.112519,20.313079,uniform_fins,pending,3,ood_test_0049,0,d_in_low,3,0.72293236,0.78466633,50.79790267,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0061,ood_test,6.932443,10,4.938426,0.920158,1.131049,47.702105,uniform_fins,pending,3,ood_test_0049,1,d_in_low,3,0.72293236,0.76167673,57.29328589,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0020,ood_test,12.271593,10,4.213376,4.927199,0.56678,7.272652,uniform_fins,pending,3,ood_test_0052,0,h_ch_high,4,0.83681290,0.86141219,3.25527888,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0021,ood_test,12.082291,10,2.083673,2.951164,0.543086,17.437073,uniform_fins,pending,3,ood_test_0052,1,h_ch_high,4,0.83681290,0.82914770,13.59945946,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
ood_test_pbf03_0045,ood_test,9.97723,12,4.240606,0.89893,1.071088,29.443203,uniform_fins,pending,3,ood_test_0053,1,d_in_low,5,1.18797237,1.14901097,45.86963499,"OOD physical-acquisition backfill matched to dropped case n_fin, OOD axis, and distance quintile"
