case_id,pool,case_dir,valid_geometry,invalid_reason,n_fin,h_ch_mm,h_fin_mm,d_in_mm,u_in_m_per_s,q_w_kw_m2,mesh_nx,mesh_ny,effective_inlet_width_mm,inlet_width_saturated,case_json_sha256,stl_sha256,status
id_train_pbf01_0020,id_train,openfoam_cases/id_train_pbf01_0020,true,,6,9.262727,5.913083,4.625132,1.218854,11.319449,240,37,4.625132,false,78134b972a22c63166a8a1748cf7008727037016e63b7196ab87c9cb9d47d4c1,526b3986eee82c0005600aa98ab498f933797e361047b77b5b537968c7765215,generated_not_solved
id_train_pbf01_0019,id_train,openfoam_cases/id_train_pbf01_0019,true,,6,5.657373,2.80325,2.586194,1.278355,11.187345,240,23,2.586194,false,ff0849884f371f654be1d596bc6678713559ca43aaad24a00454f4d7e63066ba,ef2f42cdc39457373fe81f8dc6b5fadb8014bc2e5b6b1681a4ad14e2347c4b4a,generated_not_solved
id_train_pbf01_0018,id_train,openfoam_cases/id_train_pbf01_0018,true,,6,8.413516,4.811552,3.385683,0.686573,46.292687,240,34,3.385683,false,8584808e0377dcb86f859197374324c238270a9d51edac106f8449b138ba44bf,658b7f9ecf17ac48b56020d6a4efb8dc98211fe16974563d0b72ee3f6fe0a892,generated_not_solved
id_train_pbf01_0033,id_train,openfoam_cases/id_train_pbf01_0033,true,,4,9.603117,3.836808,4.254101,0.262192,9.641812,240,38,4.254101,false,bd47aef4993ecd37c83669d67a2f4e0432c1a3166e06af7fa8fe59f297ae000d,716563cbdff0c016a75f30058aaa8fa3554da3bdadf2bb6d617064cd34319062,generated_not_solved
id_train_pbf01_0034,id_train,openfoam_cases/id_train_pbf01_0034,true,,4,5.525005,2.57589,4.402169,0.393247,27.648446,240,22,4.402169,false,5846f61e04725783e2a51721c20d6c2869f9b15df410aa048771dc256d413a89,215806614097ad80b827f593673cb9ae58082204deaf2c5be0e7d8c16ecac029,generated_not_solved
id_train_pbf01_0035,id_train,openfoam_cases/id_train_pbf01_0035,true,,4,7.828156,4.075894,4.978567,0.375161,38.591254,240,31,4.978567,false,a2246b77f55f026747986d4381cfffe3faa11834f4c7972a4777701985a7c358,4ff8419cb4a87527764f97c816ed1bc759e4f4e12a2713915a337416d58a009b,generated_not_solved
id_train_pbf01_0041,id_train,openfoam_cases/id_train_pbf01_0041,true,,8,7.786925,5.76788,4.733708,0.692062,9.864505,240,31,4.733708,false,48d5264967eda5b7666defda5dc3f2f7c42e5de0fd0e48f58358810fc0f0bb1f,c5f09c10f74c329af25c435f018bb69d224f2f5b2ecfad1e0a1a2ffb18027279,generated_not_solved
id_train_pbf01_0039,id_train,openfoam_cases/id_train_pbf01_0039,true,,8,9.251258,5.595167,5.666006,0.650108,46.832393,240,37,5.666006,false,7f9a69547af59bed6bb2d2c6e21e17a14c4a0f84bcb4e8c8446c11861721ec86,75c9308be0ae6c005dd0bb53dcd44b6d5774bd96a9153fc23e4952727d61a749,generated_not_solved
id_train_pbf01_0040,id_train,openfoam_cases/id_train_pbf01_0040,true,,8,6.320577,3.685143,5.919417,0.214733,49.176303,240,25,5.919417,false,2a6c09ed0301776b579cbe08d34f5149ff39b7f0a69402fbed73a08d31d8dece,57d7ac84c1d28de1311f28a296f672d6c2c5dcb79dbdea2711777d54430e3b88,generated_not_solved
id_train_pbf01_0028,id_train,openfoam_cases/id_train_pbf01_0028,true,,6,9.814538,3.801174,2.435542,0.93248,18.179684,240,39,2.435542,false,ea33122f2eb6602d323e512eaa07e22d776fe2aeae092875fa9e7463831078cf,0915fefe645c4ec3527fc30d0b57f3e8de51197d1e82b259110f076d72428c1f,generated_not_solved
