case_id,pool,nearest_id_train_distance,replacement_for,target_distance_bin,target_ood_axis
ood_test_pbf04_0043,ood_test,1.18645840,ood_test_0002,5,h_ch_high
ood_test_pbf04_0039,ood_test,1.14404180,ood_test_0005,5,d_in_high
ood_test_pbf04_0008,ood_test,0.83003498,ood_test_0007,4,d_in_low
ood_test_pbf04_0032,ood_test,1.10273685,ood_test_0008,4,h_ch_high
ood_test_pbf04_0015,ood_test,0.66192860,ood_test_0010,2,h_ch_high
ood_test_pbf04_0044,ood_test,1.14106336,ood_test_0014,4,h_ch_high
ood_test_pbf04_0014,ood_test,0.86034985,ood_test_0019,4,d_in_low
ood_test_pbf04_0037,ood_test,1.14001793,ood_test_0020,4,h_ch_high
ood_test_pbf04_0009,ood_test,0.63412281,ood_test_0022,1,h_ch_high
ood_test_pbf04_0052,ood_test,1.14159764,ood_test_0026,5,h_ch_high
ood_test_pbf04_0025,ood_test,0.80618523,ood_test_0028,3,h_ch_high
ood_test_pbf04_0026,ood_test,1.14825306,ood_test_0029,5,d_in_high
ood_test_pbf04_0029,ood_test,0.68288045,ood_test_0030,2,h_ch_high
ood_test_pbf04_0033,ood_test,1.17361157,ood_test_0032,5,h_ch_high
ood_test_pbf04_0002,ood_test,1.07149255,ood_test_0035,4,d_in_high
ood_test_pbf04_0007,ood_test,0.70620887,ood_test_0036,2,h_ch_high
ood_test_pbf04_0027,ood_test,1.13401640,ood_test_0038,4,h_ch_high
ood_test_pbf04_0021,ood_test,0.75524107,ood_test_0043,3,d_in_high
ood_test_pbf04_0035,ood_test,0.66194376,ood_test_0046,2,h_ch_high
ood_test_pbf04_0018,ood_test,1.16166472,ood_test_0047,5,d_in_low
ood_test_pbf04_0030,ood_test,0.75725468,ood_test_0049,3,d_in_low
ood_test_pbf04_0010,ood_test,0.89961900,ood_test_0052,4,h_ch_high
ood_test_pbf04_0022,ood_test,1.17637867,ood_test_0053,5,d_in_low
ood_test_pbf04_0013,ood_test,0.71581744,ood_test_0054,3,h_ch_high
ood_test_pbf04_0012,ood_test,0.60585247,ood_test_0063,1,d_in_high
ood_test_pbf04_0028,ood_test,1.22159818,ood_test_0068,5,h_ch_high
ood_test_pbf04_0006,ood_test,0.71671070,ood_test_0069,3,d_in_high
ood_test_pbf04_0047,ood_test,1.21882476,ood_test_0077,5,d_in_high
ood_test_pbf04_0000,ood_test,0.84314504,ood_test_0079,4,d_in_low
ood_test_pbf04_0045,ood_test,1.18469606,ood_test_0080,5,h_ch_high
ood_test_pbf04_0005,ood_test,0.69425114,ood_test_0081,2,d_in_high
ood_test_pbf04_0041,ood_test,0.77357443,ood_test_0082,3,h_ch_high
ood_test_pbf04_0003,ood_test,1.20426698,ood_test_0089,5,d_in_low
ood_test_pbf04_0019,ood_test,1.19869728,ood_test_0092,5,h_ch_high
ood_test_pbf04_0004,ood_test,0.62530678,ood_test_0093,1,d_in_high
ood_test_pbf04_0042,ood_test,1.14364883,ood_test_0095,5,d_in_high
ood_test_pbf04_0046,ood_test,0.53086093,ood_test_0096,1,h_ch_high
ood_test_pbf04_0050,ood_test,1.14225007,ood_test_0098,5,h_ch_high
ood_test_pbf04_0001,ood_test,0.88770215,ood_test_0100,4,h_ch_high
ood_test_pbf04_0024,ood_test,0.73745696,ood_test_0103,3,d_in_high
ood_test_pbf04_0051,ood_test,1.16333889,ood_test_0104,5,h_ch_high
ood_test_pbf04_0016,ood_test,0.89779050,ood_test_0106,4,h_ch_high
ood_test_pbf04_0017,ood_test,1.07392430,ood_test_0107,4,d_in_low
ood_test_pbf04_0040,ood_test,1.10423906,ood_test_0110,4,h_ch_high
ood_test_pbf04_0034,ood_test,0.70573532,ood_test_0114,2,h_ch_high
ood_test_pbf04_0049,ood_test,1.22182292,ood_test_0116,5,h_ch_high
ood_test_pbf04_0031,ood_test,0.70397517,ood_test_0118,2,h_ch_high
ood_test_pbf04_0020,ood_test,0.59243046,ood_test_0120,1,h_ch_high
ood_test_pbf04_0023,ood_test,1.07005009,ood_test_0122,4,h_ch_high
ood_test_pbf04_0048,ood_test,1.11123069,ood_test_0134,4,h_ch_high
ood_test_pbf04_0038,ood_test,1.15399142,ood_test_0140,5,h_ch_high
ood_test_pbf04_0036,ood_test,0.82485511,ood_test_0142,4,h_ch_high
ood_test_pbf04_0011,ood_test,1.23377895,ood_test_0143,5,d_in_low
