case_id,pool,npz_path,fluid_pixels,T_min_K,T_p01_K,T_mean_K,T_p99_K,T_max_K,U_mag_min_m_per_s,U_mag_mean_m_per_s,U_mag_max_m_per_s,T_mean_delta_K,T_outlet_bulk_K,T_outlet_bulk_delta_K,enthalpy_expected_delta_K,enthalpy_balance_ratio,enthalpy_balance_passed,passed,failure_reasons,npz_sha256
id_train_0000,id_train,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/id_train_0000.npz,15872,293.14990234375,293.1499938964844,294.4602966308594,304.9751281738281,344.2464599609375,3.263757753302343e-05,0.5701147317886353,1.4196795225143433,1.3102966308593977,293.4144592285156,0.26445922851564774,0.28729019531079986,0.920529947879172,true,true,,0f065f078ef7816b3fb67006f073ec1dd88e42e62ab4d985542e953ea9232f8c
id_train_0200,id_train,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/id_train_0200.npz,15856,293.1499938964844,293.1499938964844,295.5350341796875,315.6000671386719,372.6916809082031,1.459573377360357e-05,0.2990449368953705,0.7692157626152039,2.3850341796875227,293.6249084472656,0.47490844726564774,0.29974933882201826,1.584351942633086,true,true,,4e59b14f480ea551c013ecfb147584104cd241b96645762d19dacb5038168636
id_calibration_0400,id_calibration,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/id_calibration_0400.npz,15776,293.1499938964844,293.1499938964844,293.9191589355469,299.11865234375,319.77288818359375,4.1829680412774906e-05,0.46321967244148254,1.341991662979126,0.7691589355468977,293.44976806640625,0.29976806640627274,0.31592820907420344,0.9488486871264633,true,true,,0498ce9f95ec86db5b8284b0d21f771da921621b5c2d23404a9e69fb1993f99b
id_test_0500,id_test,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/id_test_0500.npz,16080,293.14996337890625,293.14996337890625,294.43499755859375,305.6471862792969,327.1083068847656,0.0004017817263957113,0.29723358154296875,0.5746392607688904,1.2849975585937727,293.49859619140625,0.34859619140627274,0.36865085857692154,0.9455998359855596,true,true,,6aecb7569a8e196d9ef0a0ef6f22af676fff4aad5c06e68efe53e80e262d450f
ood_test_0060,ood_test,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_test_0060.npz,16018,293.1499938964844,293.1499938964844,295.6922302246094,323.66717529296875,404.33795166015625,5.8141340559814125e-06,0.30931323766708374,0.7197322845458984,2.5422302246093977,293.59429931640625,0.44429931640627274,0.2611008428231811,1.7016387676203506,true,true,,f43dc5a2b3aaf858676ef66b28ec70c854ff16867e29425ded1a33320f8edb53
ood_test_0071,ood_test,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_test_0071.npz,14488,293.1499328613281,293.1499938964844,307.199462890625,449.2062072753906,457.2024841308594,4.330146019526637e-09,0.251367449760437,0.8046110272407532,14.049462890625023,293.4690856933594,0.31908569335939774,0.18721763509050754,1.7043570345557488,true,true,,16f11482c9f1eb685cf96363d10ae2be30722004f6f5d9e5b97830f3a209eeae
ood_test_0085,ood_test,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_test_0085.npz,15648,293.14996337890625,293.1499938964844,293.4087829589844,296.4010009765625,302.7101745605469,2.262418774989783e-06,1.0083571672439575,2.042300224304199,0.25878295898439774,293.1818542480469,0.03185424804689774,0.03508190149111303,0.907996621989463,true,true,,880a9549766a30d7fc93011767876420a13699ffbee79bf0bc2ef5515d94bcc9
ood_test_0113,ood_test,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_test_0113.npz,14896,293.1499938964844,293.1499938964844,293.8207702636719,309.31683349609375,313.171630859375,1.3585371561930515e-05,1.634278416633606,3.782552480697632,0.6707702636718977,293.16937255859375,0.019372558593772737,0.0223461395082991,0.8669308891845945,true,true,,d227c7b14b236c80eb0b21c2d3c961f91ed3383447738cccff2c7d54fe712cd6
ood_test_0121,ood_test,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_test_0121.npz,15168,293.149658203125,293.14984130859375,301.373291015625,364.9793701171875,390.047119140625,8.178309229833758e-08,0.06338132172822952,0.3508782982826233,8.223291015625023,295.0716857910156,1.9216857910156477,2.0527264450755442,0.9361626317163396,true,true,,a4693da4b7247172406db1eee37602f7afe8cb64c30b917a9948f30d90bcb298
ood_test_0147,ood_test,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_test_0147.npz,15856,293.14990234375,293.14996337890625,302.96795654296875,374.434326171875,464.65374755859375,1.255718075299228e-06,0.029413538053631783,0.2597064971923828,9.817956542968773,297.5272521972656,4.377252197265648,4.5391306845893045,0.9643371168243191,true,true,,fbbeca8548d2af52aa8e486e94c5c16bc04316144b9db0e73f3fbc9e1131b450
hard_hchhighidfin_0000,hard_regime,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/hard_hchhighidfin_0000.npz,15960,293.14996337890625,293.1499938964844,293.8711853027344,299.49853515625,308.61822509765625,8.575827450840734e-06,0.1598060578107834,0.3574502766132355,0.7211853027343977,293.23980712890625,0.08980712890627274,0.0794596817689066,1.1302226098445716,true,true,,01e89d456513fe516d7d4238381532fa2a73a6c2b39c852585916340705c7d26
hard_nfin3hchhigh_0004,hard_regime,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/hard_nfin3hchhigh_0004.npz,16204,293.1499938964844,293.1499938964844,294.4950866699219,308.02215576171875,339.7273254394531,1.6922076611081138e-05,0.3309772312641144,0.7115262150764465,1.3450866699218977,293.2958679199219,0.14586791992189774,0.15357635958246416,0.9498071208256027,true,true,,256941c42ccdb3780af1f9f26068b9e1ea53902518af60111e6cbff1729db057
hard_nfin3idaxes_0004,hard_regime,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/hard_nfin3idaxes_0004.npz,16108,293.1499938964844,293.1499938964844,295.33038330078125,313.5316162109375,373.8394470214844,2.0879399016848765e-05,0.3611740171909332,0.751474916934967,2.1803833007812727,293.426513671875,0.27651367187502274,0.2912232337306654,0.9494904246917104,true,true,,fd56c18351d5318bda6542c9c4b72d29860fcf21c8ae5879b12244d974fa4972
ood_fresh_0009,ood_fresh,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_fresh_0009.npz,16012,293.1499938964844,293.1499938964844,294.1330261230469,301.55096435546875,314.502197265625,2.6256751880282536e-05,0.049077343195676804,0.33647599816322327,0.9830261230468977,293.8553466796875,0.7053466796875227,0.7360075937761016,0.9583415791523666,true,true,,a5b68221fac0d761ca06b460b4e20f2548625abcfa5ddc6089289da23f94f2aa
ood_fresh_0011,ood_fresh,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_fresh_0011.npz,14392,293.1499938964844,293.1499938964844,295.311279296875,334.0643005371094,347.2718200683594,4.3715375795727596e-05,1.6399613618850708,5.3263349533081055,2.1612792968750227,293.223388671875,0.07338867187502274,0.08825053597677383,0.8315946307038576,true,true,,5713507c99d127710002b8a9d7b9fb0a9f26abbfc820fba7451678252bce1a6b
ood_fresh_0044,ood_fresh,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_fresh_0044.npz,15784,293.14996337890625,293.1499938964844,294.64508056640625,321.7373046875,345.257568359375,5.208652055443963e-06,0.41916972398757935,0.9224209189414978,1.4950805664062727,293.2413330078125,0.09133300781252274,0.10163704415929477,0.8986192836282939,true,true,,c7928c24cef75b678303359a8f52d03f303506ac5341915fff5a80f6c905e912
ood_fresh_0063,ood_fresh,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_fresh_0063.npz,16090,293.14996337890625,293.1499938964844,293.651611328125,298.85076904296875,329.0122375488281,6.748864689143375e-05,0.9097827672958374,1.8588478565216064,0.5016113281250227,293.2498779296875,0.09987792968752274,0.10666145421427914,0.9364013497028782,true,true,,0e836df4b0a01d0546628155172693fab22bdf923a4273ca5925f3a00fa7dcd8
ood_fresh_0077,ood_fresh,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_fresh_0077.npz,14104,293.1499938964844,293.1516418457031,296.09686279296875,328.95635986328125,337.9438171386719,4.869357780989958e-06,0.1716492474079132,0.8176785111427307,2.9468627929687727,293.8538818359375,0.7038818359375227,0.75799084112915,0.9286152255995295,true,true,,183d5e4b8534ce32ac9e0b3d62a5dc2cf95db2796f2d1441811e7d2f9e173ff6
ood_fresh_0078,ood_fresh,evidence_pack_tier2_steady/04_predictions/physical_envelope_fixed_grid_fields/ood_fresh_0078.npz,16018,293.1499938964844,293.1499938964844,295.05767822265625,315.4571228027344,370.266845703125,1.3092996596242301e-05,0.3208986818790436,0.995657205581665,1.9076782226562727,293.453369140625,0.30336914062502274,0.1808914544004886,1.6770783430895082,true,true,,969680ecda99b598f8a7ed5c4c9b073650c2e794289659747761d9bbd7506dfb
